FV_MW,Eolica_MW,Bateria_MWh,HidroNueva_MW,fFlexAgua,fSmartVE,CO2_kt,Costo_MUSD
300,149.997950521666,300,29.9998999859704,0.652664121578147,0.901738770419874,408.740237439145,101.392868587778
300,149.997950521666,300,29.9998999859704,0.652664121578147,0.901738770419874,408.740237439145,101.392868587778
300,149.997950521666,300,29.9998999859704,0.652664121578147,0.800660018005983,408.769071958065,101.311912733809
300,149.997935518609,284.353088485901,30,0.625476203472004,0.884608083228107,408.789436503451,100.766083788975
300,149.999488642987,278.9300724654,29.9999835024433,0.550727455018492,0.677414826948571,408.904594386952,100.329050554096
300,149.999557203309,257.043829979089,30,0.579648060857537,0.668588575303858,409.000903451652,99.5620199581948
300,149.999544450746,255.238092447977,30,0.585813494121076,0.668501386767304,409.010089266367,99.5043401996223
299.982747910943,149.999774211322,239.539807818317,29.9999872790061,0.434221364552258,0.587470243904231,409.171322955405,98.7189622296776
299.82477735075,150,220.465756652755,30,0.453756112325833,0.632095040356206,409.269168166248,98.0858696604038
300,150,205.614039147802,29.9999180247567,0.506479193851099,0.654486045273239,409.337900702298,97.6433477814543
298.872784152822,149.999673151583,188.315882105642,29.9999957527474,0.46607085661252,0.678598075170044,409.623704431938,96.9973272021616
300,149.999702676749,172.391259851301,29.9999988013646,0.503157599201467,0.645153881618993,409.68677130464,96.5117462114513
299.478418170087,149.999705846769,165.578842381519,29.9999986614464,0.512497689411549,0.630749746759091,409.852504106569,96.2830862975732
300,149.999951874746,142.857313066857,30,0.250664549230499,1,409.876282146553,95.4840614699733
300,150,120.725631190745,30,0.281476580674287,0.909157312472736,410.234493961013,94.7472397239852
299.772449129675,149.999105853727,107.117556439232,29.9999712696534,0.278702543620313,0.88300992639456,410.516542459071,94.3060141997695
300,149.995916544115,93.7401803426272,29.9998108701846,0.328044920913706,0.676518297938754,410.960174046062,93.8788099986145
300,149.954607027624,75.8678895929869,29.9999679550321,0.367733547835532,0.6791726604349,411.392912371261,93.4252101013455
297.75046337669,149.996136102573,62.4970427805515,29.9986306257991,0.308848338576199,0.863951061264882,411.749874582648,93.0058713731723
298.033611965588,149.996132979731,60.1288667354663,29.9986211497099,0.309233438850639,0.866782424219855,411.781276890196,92.9523709079377
297.464885472512,149.880122580008,46.8072991067951,29.9986697898133,0.140177823943918,0.906121787775338,412.311892067826,92.4488174548946
297.474768221881,149.990292311933,23.6862582852208,29.99451671756,0.359523678722389,0.811991399220749,412.993216701352,92.0481865916823
300,150,0,29.994734577722,0.254388050361366,0.816431712664138,413.71279485373,91.512174570888
297.314396759865,149.990376034044,0,29.9947058473754,0.252053077059915,0.816788098417924,413.941184950136,91.415428441038
283.956459069085,149.998409730597,0,30,0.318192683219661,0.962866097803478,414.904619670244,91.1018599703708
271.815173418074,150,6.04629249272121,30,0.316730005462214,0.991794640555976,415.816020124828,90.8970363876019
267.465993000658,150,8.14854494051349,29.9568550923596,0.419160351296982,0.847987365263384,416.289531291068,90.8574760823994
261.89853544073,150,1.33186578033638,29.9573689718958,0.401018302656269,0.851566664907491,417.050915628749,90.5141310062457
255.295035869551,149.999820857524,0.00239470394855237,30,0.332224839468623,0.837758102364764,417.763973015191,90.2172571257968
245.467870363242,149.999592282411,0.00244725481886004,30,0.295956679891123,0.8375226106676,418.824582210579,89.933045150092
236.369411608366,149.999961409515,7.4036776565923,30,0.204810380518739,0.625762015704414,419.881688029724,89.7203464412332
235.345184578866,148.103944109172,0,29.9996442743996,0.133548821747487,0.592321704849656,421.022933581102,89.4809533799551
218.506485609573,150,0,29.9999996670537,0.182069454482023,0.630558498197858,422.227030563581,89.1589307326644
215.040334172997,149.999850446808,0,30,0.176867842757419,0.631893370460156,422.669764279649,89.0978948505441
208.965987295597,150,0,30,0.145638759138684,0.600876975487007,423.480047380025,88.9494601781732
205.763042379066,150,0,30,0.126654347308735,0.59583984655322,423.915291228885,88.8811747918948
196.656252235409,149.971794424471,0,30,0.219716439228659,0.504303657668105,425.326382856593,88.862810721039
181.00161598296,149.999997022416,0.242644216834594,29.9996626175246,0.174090722118515,0.76775975360006,427.322819707598,88.8003175387461
170.292081567326,150,0,29.9999209090094,0.243164787378105,0.624005033333803,429.013518613133,88.722020583236
164.699523137996,149.973482460651,0.000226020928409051,30,0.257168438268533,0.433699443722688,430.076764881909,88.6350960762051
149.736347513284,150,6.49087045961515,29.9971560017966,0.113514021419398,0.421271380842155,432.327461708237,88.6193139882296
148.195416421823,150,0,29.9971683399709,0.110815943703236,0.437288726995499,432.588229929853,88.3791508923743
134.833948801967,149.999810755744,0.000680273298111181,30,0.129523721970714,0.388561674346122,434.723720998788,88.3476793507864
122.79764852864,150,1.54927547759074,29.9999815153534,0.0883315386460731,0.412803023156785,436.556395087166,88.3166390993148
111.328846866405,149.999697556817,0,29.9996239003251,0.0540313713382065,0.392134570024016,438.401684954433,88.1858504380061
75.5338426810898,149.978299217139,0,29.9996908915747,0.0435116042300817,0.396280580028905,444.082872072225,88.0924236263364
16.747834014277,149.98222641336,0.00906234129864156,29.9990173932144,0.120535584356711,0.376875730333002,453.498643340092,88.076855788271
5,149.98223174123,0.0090850438403675,29.9990102810128,0.119916999130295,0.372527727972354,455.382688039688,88.0574405714487
