FV_MW,Eolica_MW,Bateria_MWh,HidroNueva_MW,fFlexAgua,fSmartVE,CO2_kt,Costo_MUSD
600,299.999999945125,798.708038251905,59.9942381679178,0.145206631897334,1,217.169569155431,190.374363196001
600,299.999979421033,764.406547047754,59.9939145531624,0.102639754145882,0.995504183653421,217.198174547372,189.000894944268
600,299.999982357774,732.987668196368,59.9939268833856,0.10347377264634,0.99551911712855,217.219847570979,187.806010410232
600,299.999982148072,720.409657999963,59.9948492975829,0.106474205572071,0.999810622732761,217.223637838595,187.346682926343
600,299.999982273562,665.707127800521,59.9946127718585,0.119045714305854,1,217.278051645733,185.288256326912
600,299.99998547553,605.678457070387,60,0.163673852562011,0.99943026748284,217.366631805004,183.078315650029
600,299.999986982224,604.343254778293,60,0.173786127072964,0.999408859668054,217.368382239798,183.039931992103
600,300,563.359225496556,59.9999808430978,0.154299317841883,0.991720631960227,217.479025240897,181.462594157428
600,300,519.498339033437,59.9999285088286,0.111459351853581,0.998819818864296,217.618456686311,179.820799220742
600,299.999999990849,470.333234539409,60,0.146389108427179,0.999991996447028,217.816335602745,178.069957619905
597.896363797514,300,461.69002737882,60,0.0921624368523336,0.998669940925614,218.163526499388,177.668436154205
600,300,390.262306267127,60,0.295630152205038,1,218.286781730415,175.385944427529
600,300,362.229166658477,59.7171724433708,0.298781425343329,0.996545145666579,218.730310020438,174.439514022679
600,299.999999983732,319.703101472055,59.9757667698762,0.166126472834097,0.99873910455439,219.009069891809,172.828402417634
600,299.999726906538,294.183182732343,60,0.0714142902351497,1,219.339381540322,171.88980370497
600,299.999742594474,255.074141828531,60,0.0711427221912973,1,219.894397832112,170.63198425166
600,299.999732662859,241.084045511506,60,0.0702380478217434,0.995598798156631,220.122560147984,170.175598807541
598.907729619242,300,200.807630050155,60,0.215254676059241,0.950020372572955,220.94993134449,168.975417120148
600,299.999732662859,185.357930895557,60,0.0702380478217434,1,221.142868327814,168.497998417102
600,299.999992140761,145.340386926405,59.9991981404941,0.238681731309349,0.951926478246512,222.057495990047,167.433941987751
600,299.999999662367,129.463059560564,59.9992280930316,0.235943277360261,0.947067319641365,222.497756613383,166.998815578396
600,299.999999999989,94.3197931200821,59.9821721485459,0.156142511807998,0.945121496242439,223.632395768948,166.035736457321
596.082966905776,300,74.3608291210332,60,0.0167614002863823,0.960062099413625,224.764341485083,165.353374330651
579.769435567764,299.998711942285,44.6519363509777,60,0.0333003532371663,1,227.339220485608,164.301256653651
552.479360829407,299.998761401799,38.6912718403832,60,0.0638814977186391,0.993485298007023,230.184542799561,163.387804555676
549.347900851984,299.99879116292,6.94702747276857,60,0.0334055971403366,0.994910571994878,231.811497504128,162.633676849843
531.811994644668,300,0,60,0.183638649091127,0.913449060357559,233.891837740822,162.040021754032
507.851451395382,299.998690672206,0,60,0.0686561748510469,0.992864499535833,236.271400708602,161.40046644964
487.813991443333,300,0,60,0.047709086777645,0.978713359408206,238.513416978214,160.893685255132
467.856381176177,300,0,60,0.0756710712625772,0.978531862013681,240.820630955807,160.511529178858
464.432180490563,300,0,59.9996441436055,0.0134699687170298,0.978093428110825,241.26532088296,160.388654689306
445.985040693328,299.999998305397,0,59.9999289728333,0.252814991584351,0.912228045233803,243.639595800839,160.243117942767
440.250069431703,299.999998267515,0,59.9999988945439,0.242515661517482,0.912141627097907,244.367218105273,160.139686502843
421.172428341677,300,0,60,0,0.915860111691455,246.9154944471,159.604691807294
391.465599364462,299.999999741977,0,60,0.0250690655976337,0.90383905185952,251.082001449575,159.335701927237
371.484367748267,300,0,60,0,0.915304831897779,253.947275763338,159.095813464463
331.146053029775,300,0,59.9991395889901,0.000249108619430091,0.913201512220184,260.003815684149,158.841331668996
312.707254992597,300,0,60,0,0.908187786117165,262.853968306928,158.758307904066
308.407364632547,300,0,60,7.15643039265838e-05,0.909708130022738,263.50759786382,158.727999747548
288.998450150987,300,0,60,0.000405690490266469,0.924824053572793,266.453907073996,158.618572346651
271.630436341926,300,0,60,4.77950243373117e-06,0.908437366653117,269.201619122976,158.571726674497
257.64065989132,300,0.0778909217135912,60,0.00150998977081961,0.920676825485107,271.290186930826,158.499138465512
234.706662606611,300,0,59.999569945299,0,0.913093057136806,274.853152498062,158.412346412448
201.231771758691,300,0,60,0.00420189618224616,0.919695706664209,280.063844211475,158.296889590444
182.217745220281,300,0,59.9995696566933,0.0161792540243988,0.912811761458674,283.072966801892,158.250259507114
159.66459832117,300,0,59.9998345227874,0.00560662096266019,0.920838552717371,286.571476115888,158.168137382126
137.730186963535,300,0,59.9995839383255,0.016126132457974,0.907680055074717,290.069549016643,158.135952917471
133.546188077875,300,0,59.9996030952277,0,0.911141292296024,290.714197340535,158.089096261578
