Escenario,FV_MW,Eolica_MW,Bateria_MWh,Hidro_MW,fFlexAgua,fSmartVE,CO2_kt,CO2elec_kt,CO2transp_kt,Costo_MUSD,FraccionRenov_pct,Import_GWh,Demanda_GWh
Base 2024,5,50,0,40,0,0,532.019751132992,178.094751132992,353.925,73.867489554966,25.6537799808269,976.880092170525,1313.960672
Compromiso 2030,255.295035869551,149.999820857524,0.00239470394855237,70,0.332224839468623,0.837758102364764,417.763973015191,129.013973015191,288.75,90.2172571257968,57.4758795065044,690.208990917956,1623.109824
Compromiso 2050,579.769435567764,299.998711942285,44.6519363509777,100,0.0333003532371663,1,227.339220485608,181.964220485608,45.375,164.301256653651,63.0444621823223,979.561271173352,2682.846432
